PARK,TOTAL,BOROUGH,MURDER,RAPE,ROBBERY,FELONY ASSAULT,BURGLARY,GRAND LARCENY,GRAND LARCENY OF MOTOR VEHICLE
CAMBRIA PLAYGROUND,1,QUEENS,0,0,0,0,0,1,0
MARCONI PARK,0,QUEENS,0,0,0,0,0,0,0
VALENTINO PIER,0,BROOKLYN,0,0,0,0,0,0,0
GRANITEVILLE QUARRY PARK,0,STATEN ISLAND,0,0,0,0,0,0,0
MONTBELLIER PARK,2,QUEENS,0,0,0,1,0,1,0
QUARRY BALLFIELDS,1,BRONX,0,0,1,0,0,0,0
RICHMAN (ECHO) PARK,6,BRONX,0,1,2,2,0,1,0
JEROME PARK,0,BRONX,0,0,0,0,0,0,0
CORLEARS HOOK PARK,0,MANHATTAN,0,0,0,0,0,0,0
ASPHALT GREEN,0,MANHATTAN,0,0,0,0,0,0,0
FABER POOL AND PARK,0,STATEN ISLAND,0,0,0,0,0,0,0
MACHATE CIRCLE,0,BROOKLYN,0,0,0,0,0,0,0
HAMILTON FISH PARK,2,MANHATTAN,0,0,0,0,0,2,0
TIFFANY STREET PIER,0,BRONX,0,0,0,0,0,0,0
KINGDOM POND PARK,0,STATEN ISLAND,0,0,0,0,0,0,0
COLUMBUS PARK BROOKLYN,0,BROOKLYN,0,0,0,0,0,0,0
STAPLETON PLAYGROUND,0,STATEN ISLAND,0,0,0,0,0,0,0
STERNBERG PARK,6,BROOKLYN,0,0,4,1,0,1,0
COLUCCI PLAYGROUND,0,BRONX,0,0,0,0,0,0,0
NORTHERLEIGH PARK,0,STATEN ISLAND,0,0,0,0,0,0,0
STUYVESANT SQUARE,2,MANHATTAN,0,1,0,0,0,1,0
LAST CHANCE POND PARK,0,STATEN ISLAND,0,0,0,0,0,0,0
FORDHAM LANDING PLAYGROUND,1,BRONX,0,0,0,0,0,1,0
CHELSEA PARK,2,MANHATTAN,0,0,0,0,0,2,0
NORTH 5TH STREET PIER AND PARK,0,BROOKLYN,0,0,0,0,0,0,0
HAGGERTY PARK,3,QUEENS,0,0,2,0,1,0,0
JACOB H. SCHIFF PLAYGROUND,0,MANHATTAN,0,0,0,0,0,0,0
GRANT PARK,0,BRONX,0,0,0,0,0,0,0
EAST ELMHURST PLAYGROUND,1,QUEENS,0,0,0,1,0,0,0
JOSEPH AUSTIN PLAYGROUND,0,QUEENS,0,0,0,0,0,0,0
UNNAMED PARK ON ROCKAWAY BOARDWALK & CREST ROAD,0,QUEENS,0,0,0,0,0,0,0
LINCOLN CENTER PLAZA,0,MANHATTAN,0,0,0,0,0,0,0
INGRAM WOODS,0,STATEN ISLAND,0,0,0,0,0,0,0
FARM PLAYGROUND,0,QUEENS,0,0,0,0,0,0,0
HINTON PARK,0,QUEENS,0,0,0,0,0,0,0
LOUIS PASTEUR PARK,0,QUEENS,0,0,0,0,0,0,0
WHITEY FORD FIELD,0,QUEENS,0,0,0,0,0,0,0
POMONOK PLAYGROUND,0,QUEENS,0,0,0,0,0,0,0
CLAWSON PLAYGROUND,0,STATEN ISLAND,0,0,0,0,0,0,0
BENNETT REST,0,MANHATTAN,0,0,0,0,0,0,0
GOVERNOR SMITH PLAYGROUND,0,BRONX,0,0,0,0,0,0,0
PAERDEGAT PARK,0,BROOKLYN,0,0,0,0,0,0,0
AMERSFORT PARK,0,BROOKLYN,0,0,0,0,0,0,0
CITY LINE PARK,1,BROOKLYN,0,0,0,1,0,0,0
BAILEY PLAYGROUND,1,BRONX,0,0,0,0,0,1,0
NAUTILUS PLAYGROUND QUEENS,0,QUEENS,0,0,0,0,0,0,0
VINMONT VETERAN PARK,0,BRONX,0,0,0,0,0,0,0
MCDONALD PLAYGROUND BROOKLYN,0,BROOKLYN,0,0,0,0,0,0,0
THE OLDE TOWNE OF FLUSHING BURIAL GROUND,0,QUEENS,0,0,0,0,0,0,0
WEGENER PARK,0,STATEN ISLAND,0,0,0,0,0,0,0
UNNAMED PARK ON BEACH CHANNEL DRIVE & BEACH 89TH TO OLD BEACH 88TH STREET,0,QUEENS,0,0,0,0,0,0,0
JULIO CARBALLO FIELDS,0,BRONX,0,0,0,0,0,0,0
GRADY PLAYGROUND,0,BROOKLYN,0,0,0,0,0,0,0
CO-OP CITY FIELD,0,BRONX,0,0,0,0,0,0,0
BREININGER PARK,0,QUEENS,0,0,0,0,0,0,0
ST. MICHAEL'S PARK,0,QUEENS,0,0,0,0,0,0,0
GREENWOOD PLAYGROUND,0,BROOKLYN,0,0,0,0,0,0,0
